scenario,region,basin,resource,subresource,year,value,Units
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,groundwater,2070,0,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,groundwater,2075,0,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,groundwater,2080,0,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,groundwater,2085,0,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,groundwater,2090,0,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,groundwater,2095,0,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,groundwater,2100,0,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,runoff,1975,17.4319,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,runoff,1990,0.416022,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,runoff,2005,0.430843,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,runoff,2010,0.404305,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,runoff,2015,0.388005,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,runoff,2020,0.412284,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,runoff,2025,0.41286,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,runoff,2030,0.414186,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,runoff,2035,0.41329,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,runoff,2040,0.409432,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,runoff,2045,0.401985,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,runoff,2050,0.394046,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,runoff,2055,0.384112,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,runoff,2060,0.374353,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,runoff,2065,0.362768,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,runoff,2070,0.349509,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,runoff,2075,0.335063,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,runoff,2080,0.319969,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,runoff,2085,0.302392,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,runoff,2090,0.284245,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,runoff,2095,0.267011,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,runoff,2100,0.250334,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,groundwater,1975,0,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,groundwater,1990,3.16572,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,groundwater,2005,4.44444,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,groundwater,2010,4.18551,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,groundwater,2015,4.28184,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,groundwater,2020,5.40155,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,groundwater,2025,5.10182,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,groundwater,2030,7.16767,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,groundwater,2035,4.74812,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,groundwater,2040,8.89989,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,groundwater,2045,8.43162,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,groundwater,2050,9.14347,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,groundwater,2055,10.2075,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,groundwater,2060,8.99907,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,groundwater,2065,8.10029,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,groundwater,2070,11.4028,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,groundwater,2075,8.34963,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,groundwater,2080,12.8602,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,groundwater,2085,13.917,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,groundwater,2090,16.811,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,groundwater,2095,16.7408,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,groundwater,2100,7.85545,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,runoff,1975,2.70739,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,runoff,1990,2.70824,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,runoff,2005,2.70942,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,runoff,2010,2.7098,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,runoff,2015,2.71018,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,runoff,2020,2.57609,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,runoff,2025,3.47205,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,runoff,2030,2.22673,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,runoff,2035,5.22088,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,runoff,2040,1.33579,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,runoff,2045,2.13383,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,runoff,2050,2.04031,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,runoff,2055,1.48958,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,runoff,2060,2.34483,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,runoff,2065,3.17651,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,runoff,2070,1.99063,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,runoff,2075,4.61525,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,runoff,2080,1.18624,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,runoff,2085,1.93871,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,runoff,2090,1.82389,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,runoff,2095,1.51479,km^3
rcp45cooler_ssp3,USA,Lower Colorado River,Lower Colorado River_water withdrawals,runoff,2100,2.95572,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,groundwater,1975,0,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,groundwater,1990,8.48962,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,groundwater,2005,16.8945,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,groundwater,2010,15.0761,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,groundwater,2015,15.9448,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,groundwater,2020,8.60584,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,groundwater,2025,14.7896,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,groundwater,2030,12.4686,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,groundwater,2035,12.1024,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,groundwater,2040,18.9246,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,groundwater,2045,13.4668,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,groundwater,2050,18.1622,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,groundwater,2055,21.9394,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,groundwater,2060,11.9059,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,groundwater,2065,20.5251,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,groundwater,2070,16.9557,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,groundwater,2075,14.833,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,groundwater,2080,24.0724,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,groundwater,2085,19.6854,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,groundwater,2090,24.1141,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,groundwater,2095,25.8476,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,groundwater,2100,7.44558,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,runoff,1975,16.0189,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,runoff,1990,16.0265,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,runoff,2005,16.0418,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,runoff,2010,16.0463,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,runoff,2015,16.0511,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,runoff,2020,21.1193,km^3
rcp45cooler_ssp3,USA,Lower Mississippi River,Lower Mississippi River_water withdrawals,runoff,2025,16.8599,km^3
