scenario,source,target,year,value,units
rcp45cooler_ssp3,Electricity,Industry,2020,2.9546314798,EJ
rcp45cooler_ssp3,Electricity,Liquid Fuels,2020,0.205799021326,EJ
rcp45cooler_ssp3,Electricity,Losses,2020,11.9739542935645,EJ
rcp45cooler_ssp3,Electricity,Residential,2020,5.758062866550566,EJ
rcp45cooler_ssp3,Electricity,Transportation-NonVehicle,2020,0.03383594092,EJ
rcp45cooler_ssp3,Electricity,Transportation-Vehicle,2020,0.02348521182,EJ
rcp45cooler_ssp3,Gas,Commercial,2020,3.488402246165252,EJ
rcp45cooler_ssp3,Gas,Electricity,2020,12.83298460652804,EJ
rcp45cooler_ssp3,Gas,Hydrogen,2020,0.0101334,EJ
rcp45cooler_ssp3,Gas,Industry,2020,8.440381007400001,EJ
rcp45cooler_ssp3,Gas,Liquid Fuels,2020,1.2730917456116,EJ
rcp45cooler_ssp3,Gas,Losses,2020,1.1362825814592306,EJ
rcp45cooler_ssp3,Gas,Residential,2020,4.95056921930688,EJ
rcp45cooler_ssp3,Gas,Transportation-Vehicle,2020,0.28295019352899997,EJ
rcp45cooler_ssp3,Geothermal,Electricity,2020,0.09462403,EJ
rcp45cooler_ssp3,Hydrogen,Industry,2020,0.0024474048959,EJ
rcp45cooler_ssp3,Hydrogen,Losses,2020,0.009196615193599999,EJ
rcp45cooler_ssp3,Hydrogen,Transportation-Vehicle,2020,0.01333781912,EJ
rcp45cooler_ssp3,Hydropower,Electricity,2020,0.9980285891,EJ
rcp45cooler_ssp3,Liquid Fuels,Commercial,2020,0.584215578338798,EJ
rcp45cooler_ssp3,Liquid Fuels,Electricity,2020,0,EJ
rcp45cooler_ssp3,Liquid Fuels,Industry,2020,6.616945007718,EJ
rcp45cooler_ssp3,Liquid Fuels,Losses,2020,3.197693251682047,EJ
rcp45cooler_ssp3,Liquid Fuels,Residential,2020,0.649972246792854,EJ
rcp45cooler_ssp3,Liquid Fuels,Transportation-NonVehicle,2020,5.610955440352,EJ
rcp45cooler_ssp3,Liquid Fuels,Transportation-Vehicle,2020,22.48027570258,EJ
rcp45cooler_ssp3,Natural Gas,Gas,2020,32.0322,EJ
rcp45cooler_ssp3,Natural Gas,Hydrogen,2020,0.0129267,EJ
