scenario,target,source,year,value
rcp45cooler_ssp3,groundwater,Mid Atlantic,2065,0
rcp45cooler_ssp3,groundwater,Mid Atlantic,2070,0
rcp45cooler_ssp3,groundwater,Mid Atlantic,2075,0
rcp45cooler_ssp3,groundwater,Mid Atlantic,2080,0
rcp45cooler_ssp3,groundwater,Mid Atlantic,2085,0
rcp45cooler_ssp3,groundwater,Mid Atlantic,2090,0
rcp45cooler_ssp3,groundwater,Mid Atlantic,2095,0
rcp45cooler_ssp3,groundwater,Mid Atlantic,2100,0
rcp45cooler_ssp3,runoff,Mid Atlantic,1975,57.3386
rcp45cooler_ssp3,runoff,Mid Atlantic,1990,24.9795
rcp45cooler_ssp3,runoff,Mid Atlantic,2005,26.9079
rcp45cooler_ssp3,runoff,Mid Atlantic,2010,26.5434
rcp45cooler_ssp3,runoff,Mid Atlantic,2015,25.9381
rcp45cooler_ssp3,runoff,Mid Atlantic,2020,23.3932
rcp45cooler_ssp3,runoff,Mid Atlantic,2025,23.4881
rcp45cooler_ssp3,runoff,Mid Atlantic,2030,21.0378
rcp45cooler_ssp3,runoff,Mid Atlantic,2035,17.2889
rcp45cooler_ssp3,runoff,Mid Atlantic,2040,13.3838
rcp45cooler_ssp3,runoff,Mid Atlantic,2045,12.3424
rcp45cooler_ssp3,runoff,Mid Atlantic,2050,11.2317
rcp45cooler_ssp3,runoff,Mid Atlantic,2055,10.944
rcp45cooler_ssp3,runoff,Mid Atlantic,2060,10.6895
rcp45cooler_ssp3,runoff,Mid Atlantic,2065,10.5511
rcp45cooler_ssp3,runoff,Mid Atlantic,2070,10.243
rcp45cooler_ssp3,runoff,Mid Atlantic,2075,9.94948
rcp45cooler_ssp3,runoff,Mid Atlantic,2080,9.65633
rcp45cooler_ssp3,runoff,Mid Atlantic,2085,9.42621
rcp45cooler_ssp3,runoff,Mid Atlantic,2090,9.34223
rcp45cooler_ssp3,runoff,Mid Atlantic,2095,9.45554
rcp45cooler_ssp3,runoff,Mid Atlantic,2100,9.29716
rcp45cooler_ssp3,groundwater,Missouri River,1975,0
rcp45cooler_ssp3,groundwater,Missouri River,1990,4.76328
rcp45cooler_ssp3,groundwater,Missouri River,2005,17.2116
rcp45cooler_ssp3,groundwater,Missouri River,2010,17.628
rcp45cooler_ssp3,groundwater,Missouri River,2015,17.561
rcp45cooler_ssp3,groundwater,Missouri River,2020,8.52986
rcp45cooler_ssp3,groundwater,Missouri River,2025,6.92022
rcp45cooler_ssp3,groundwater,Missouri River,2030,16.1487
rcp45cooler_ssp3,groundwater,Missouri River,2035,3.60073
rcp45cooler_ssp3,groundwater,Missouri River,2040,13.9413
rcp45cooler_ssp3,groundwater,Missouri River,2045,23.8117
rcp45cooler_ssp3,groundwater,Missouri River,2050,11.7673
rcp45cooler_ssp3,groundwater,Missouri River,2055,17.1162
rcp45cooler_ssp3,groundwater,Missouri River,2060,8.672
rcp45cooler_ssp3,groundwater,Missouri River,2065,4.52729
rcp45cooler_ssp3,groundwater,Missouri River,2070,23.0909
rcp45cooler_ssp3,groundwater,Missouri River,2075,11.8499
rcp45cooler_ssp3,groundwater,Missouri River,2080,25.3109
rcp45cooler_ssp3,groundwater,Missouri River,2085,37.0531
rcp45cooler_ssp3,groundwater,Missouri River,2090,21.7104
rcp45cooler_ssp3,groundwater,Missouri River,2095,18.999
rcp45cooler_ssp3,groundwater,Missouri River,2100,9.25397
rcp45cooler_ssp3,runoff,Missouri River,1975,34.0502
rcp45cooler_ssp3,runoff,Missouri River,1990,34.0604
rcp45cooler_ssp3,runoff,Missouri River,2005,34.0971
rcp45cooler_ssp3,runoff,Missouri River,2010,34.1096
rcp45cooler_ssp3,runoff,Missouri River,2015,34.2056
rcp45cooler_ssp3,runoff,Missouri River,2020,38.9473
rcp45cooler_ssp3,runoff,Missouri River,2025,44.3975
rcp45cooler_ssp3,runoff,Missouri River,2030,36.3366
rcp45cooler_ssp3,runoff,Missouri River,2035,40.1683
rcp45cooler_ssp3,runoff,Missouri River,2040,33.4857
rcp45cooler_ssp3,runoff,Missouri River,2045,23.831
rcp45cooler_ssp3,runoff,Missouri River,2050,33.8032
rcp45cooler_ssp3,runoff,Missouri River,2055,31.8592
rcp45cooler_ssp3,runoff,Missouri River,2060,38.9561
rcp45cooler_ssp3,runoff,Missouri River,2065,45.5887
rcp45cooler_ssp3,runoff,Missouri River,2070,33.2479
rcp45cooler_ssp3,runoff,Missouri River,2075,35.9666
rcp45cooler_ssp3,runoff,Missouri River,2080,30.9987
rcp45cooler_ssp3,runoff,Missouri River,2085,21.5557
rcp45cooler_ssp3,runoff,Missouri River,2090,31.1558
rcp45cooler_ssp3,runoff,Missouri River,2095,32.6937
rcp45cooler_ssp3,runoff,Missouri River,2100,40.0021
rcp45cooler_ssp3,groundwater,New England,1975,0
rcp45cooler_ssp3,groundwater,New England,1990,0
rcp45cooler_ssp3,groundwater,New England,2005,0
rcp45cooler_ssp3,groundwater,New England,2010,0
rcp45cooler_ssp3,groundwater,New England,2015,0
rcp45cooler_ssp3,groundwater,New England,2020,0
rcp45cooler_ssp3,groundwater,New England,2025,0
rcp45cooler_ssp3,groundwater,New England,2030,0
rcp45cooler_ssp3,groundwater,New England,2035,0
rcp45cooler_ssp3,groundwater,New England,2040,0
rcp45cooler_ssp3,groundwater,New England,2045,0
rcp45cooler_ssp3,groundwater,New England,2050,0
rcp45cooler_ssp3,groundwater,New England,2055,0
rcp45cooler_ssp3,groundwater,New England,2060,0
rcp45cooler_ssp3,groundwater,New England,2065,0
rcp45cooler_ssp3,groundwater,New England,2070,0
rcp45cooler_ssp3,groundwater,New England,2075,0
rcp45cooler_ssp3,groundwater,New England,2080,0
rcp45cooler_ssp3,groundwater,New England,2085,0
rcp45cooler_ssp3,groundwater,New England,2090,0
rcp45cooler_ssp3,groundwater,New England,2095,0
rcp45cooler_ssp3,groundwater,New England,2100,0
rcp45cooler_ssp3,runoff,New England,1975,61.8056
rcp45cooler_ssp3,runoff,New England,1990,4.32089
rcp45cooler_ssp3,runoff,New England,2005,4.75035
rcp45cooler_ssp3,runoff,New England,2010,3.81535
rcp45cooler_ssp3,runoff,New England,2015,3.56561
rcp45cooler_ssp3,runoff,New England,2020,3.03123
rcp45cooler_ssp3,runoff,New England,2025,3.0444
rcp45cooler_ssp3,runoff,New England,2030,3.03266
rcp45cooler_ssp3,runoff,New England,2035,2.97438
rcp45cooler_ssp3,runoff,New England,2040,2.90489
rcp45cooler_ssp3,runoff,New England,2045,2.82966
rcp45cooler_ssp3,runoff,New England,2050,2.73432
